Breaker Left,Breaker Right,Go First,Winner,Competition,City,Country,Year,Month,Day,Bracket Size,Bracket Stage,Remaining Contestants,Video Link,Battle Rounds,System,Number Judges,Judge 1,Judge 1 Vote,Judge 2,Judge 2 Vote,Judge 3,Judge 3 Vote,Judge 4,Judge 4 Vote,Judge 5,Judge 5 Vote,Judge 6,Judge 6 Vote,Judge 7,Judge 7 Vote,Tiebreaker J1,Tiebreaker J2,Tiebreaker J3,Tiebreaker J4,Tiebreaker J5,Tiebreaker J6,Tiebreaker J7,R1J1,R1J2,R1J3,R1J4,R1J5,R1J6,R1J7,R2J1,R2J2,R2J3,R2J4,R2J5,R2J6,R2J7,R3J1,R3J2,R3J3,R3J4,R3J5,R3J6,R3J7,R4J1,R4J2,R4J3,R4J4,R4J5,R4J6,R4J7,R5J1,R5J2,R5J3,R5J4,R5J5,R5J6,R5J7
Robin,Flying Machine,Robin,Robin,Red Bull BC One World BBoy Finals,Mumbai,India,2019,11,9,16,1,16,youtube.com/watch?v=Jwf1kL_Axa0,3,Traditional,5,Narumi,Robin,Lil G,Robin,Intact,Robin,Physicx,Robin,Poe One,Robin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killa Kolya,Lil Zoo,Killa Kolya,Killa Kolya,Red Bull BC One World BBoy Finals,Mumbai,India,2019,11,9,16,1,16,youtube.com/watch?v=Ia1-dQ7bTLc,3,Traditional,5,Narumi,Killa Kolya,Lil G,Killa Kolya,Intact,Killa Kolya,Physicx,Lil Zoo,Poe One,Lil Zoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monkey King,Bart,Bart,Bart,Red Bull BC One World BBoy Finals,Mumbai,India,2019,11,9,16,1,16,youtube.com/watch?v=39jniYtjOUg,3,Traditional,5,Narumi,Bart,Lil G,Bart,Intact,Bart,Physicx,Bart,Poe One,Monkey King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beetle,Khalil,Beetle,Beetle,Red Bull BC One World BBoy Finals,Mumbai,India,2019,11,9,16,1,16,youtube.com/watch?v=q7L5VJjMfko,3,Traditional,5,Narumi,Beetle,Lil G,Beetle,Intact,Beetle,Physicx,Beetle,Poe One,Beetle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazuki Rock,Phil Wizard,Phil Wizard,Kazuki Rock,Red Bull BC One World BBoy Finals,Mumbai,India,2019,11,9,16,1,16,youtube.com/watch?v=p7VYdVT0d3g,3,Traditional,5,Narumi,Kazuki Rock,Lil G,Kazuki Rock,Intact,Kazuki Rock,Physicx,Kazuki Rock,Poe One,Kazuki Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onel,Heady,Heady,Onel,Red Bull BC One World BBoy Finals,Mumbai,India,2019,11,9,16,1,16,youtube.com/watch?v=C_IOeC4NPN4,3,Traditional,5,Narumi,Onel,Lil G,Onel,Intact,Onel,Physicx,Onel,Poe One,Onel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nori,Menno,Nori,Menno,Red Bull BC One World BBoy Finals,Mumbai,India,2019,11,9,16,1,16,youtube.com/watch?v=HpAILTw7kv4,3,Traditional,5,Narumi,Menno,Lil G,Menno,Intact,Menno,Physicx,Menno,Poe One,Menno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bumblebee,Stripes,Stripes,Bumblebee,Red Bull BC One World BBoy Finals,Mumbai,India,2019,11,9,16,1,16,youtube.com/watch?v=QgsW9HmWhc8,3,Traditional,5,Narumi,Stripes,Lil G,Bumblebee,Intact,Bumblebee,Physicx,Bumblebee,Poe One,Bumblebee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kastet,Ayumi,Ayumi,Kastet,Red Bull BC One World B-Girl Finals,Mumbai,India,2019,11,9,16,4,2,youtube.com/watch?v=WRGSRQEoCKY,3,Traditional,5,Narumi,,Lil G,Ayumi,Intact,Kastet,Physicx,Kastet,Poe One,Kastet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayumi,Ami,Ami,Ayumi,Red Bull BC One World B-Girl Finals,Mumbai,India,2019,11,9,16,3,4,youtube.com/watch?v=IaqGUKw9xmI,2,Traditional,5,Narumi,Ayumi,Lil G,Ami,Intact,Ayumi,Physicx,Ayumi,Poe One,Ayumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kastet,Mimz,Kastet,Kastet,Red Bull BC One World B-Girl Finals,Mumbai,India,2019,11,9,16,3,4,youtube.com/watch?v=8slvgf-_VIs,2,Traditional,5,Narumi,Kastet,Lil G,Kastet,Intact,Kastet,Physicx,Kastet,Poe One,Mimz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ami,Estrella,Estrella,Ami,Red Bull BC One World B-Girl Finals,Mumbai,India,2019,11,7,16,2,8,youtube.com/watch?v=T1C4gsJG5wU,2,Traditional,5,Lil G,Ami,Narumi,Ami,Intact,Ami,Physicx,Ami,Poe One,Ami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayumi,San Andrea,Ayumi,Ayumi,Red Bull BC One World B-Girl Finals,Mumbai,India,2019,11,7,16,2,8,youtube.com/watch?v=msehAPw4JW0,2,Traditional,5,Lil G,Ayumi,Narumi,Ayumi,Intact,San Andrea,Physicx,Ayumi,Poe One,San Andrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimz,Jilou,Jilou,Mimz,Red Bull BC One World B-Girl Finals,Mumbai,India,2019,11,7,16,2,8,youtube.com/watch?v=NFnzINzi6go,2,Traditional,5,Lil G,Jilou,Narumi,Mimz,Intact,Mimz,Physicx,Mimz,Poe One,Mimz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yell,Kastet,Kastet,Kastet,Red Bull BC One World B-Girl Finals,Mumbai,India,2019,11,7,16,2,8,youtube.com/watch?v=uSg4L1RCxlM,2,Traditional,5,Lil G,Kastet,Narumi,Kastet,Intact,Kastet,Physicx,Kastet,Poe One,Kastet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ami,Luma,Luma,Ami,Red Bull BC One World B-Girl Finals,Mumbai,India,2019,11,7,16,1,16,youtube.com/watch?v=RLjVVv5xaDQ,2,Traditional,5,Lil G,Ami,Narumi,Ami,Intact,Ami,Physicx,Ami,Poe One,Ami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sidi,Estrella,Estrella,Estrella,Red Bull BC One World B-Girl Finals,Mumbai,India,2019,11,7,16,1,16,youtube.com/watch?v=RcLdVHnx3hk,2,Traditional,5,Lil G,Estrella,Narumi,Sidi,Intact,Sidi,Physicx,Estrella,Poe One,Estrella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramona,Ayumi,Ramona,Ayumi,Red Bull BC One World B-Girl Finals,Mumbai,India,2019,11,7,16,1,16,youtube.com/watch?v=5ePPZKambgk,2,Traditional,5,Lil G,Ayumi,Narumi,Ayumi,Intact,Ayumi,Physicx,Ayumi,Poe One,Ayumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mess,San Andrea,San Andrea,San Andrea,Red Bull BC One World B-Girl Finals,Mumbai,India,2019,11,7,16,1,16,youtube.com/watch?v=vK-e36S5Fy4,2,Traditional,5,Lil G,San Andrea,Narumi,San Andrea,Intact,San Andrea,Physicx,San Andrea,Poe One,San Andrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimz,Sarah Bee,Mimz,Mimz,Red Bull BC One World B-Girl Finals,Mumbai,India,2019,11,7,16,1,16,youtube.com/watch?v=FwQNrlfnwqs,2,Traditional,5,Lil G,Mimz,Narumi,Mimz,Intact,Mimz,Physicx,Mimz,Poe One,Mimz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandrina,Jilou,Jilou,Jilou,Red Bull BC One World B-Girl Finals,Mumbai,India,2019,11,7,16,1,16,youtube.com/watch?v=2bKzvvV9NZc,2,Traditional,5,Lil G,Jilou,Narumi,Jilou,Intact,Jilou,Physicx,Jilou,Poe One,Jilou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yell,Fen Qi,Fen Qi,Yell,Red Bull BC One World B-Girl Finals,Mumbai,India,2019,11,7,16,1,16,youtube.com/watch?v=xGZ9OQl1VTc,2,Traditional,5,Lil G,Yell,Narumi,Yell,Intact,Yell,Physicx,Yell,Poe One,Yell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kastet,Logistx,Logistx,Kastet,Red Bull BC One World B-Girl Finals,Mumbai,India,2019,11,7,16,1,16,youtube.com/watch?v=BtOVl4CjhP0,2,Traditional,5,Narumi,Kastet,Lil G,Logistx,Intact,Kastet,Physicx,Logistx,Poe One,Kastet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killa Kolya,Thiefox,Killa Kolya,Killa Kolya,Red Bull BC One Last Chance Cypher,Mumbai,India,2019,11,7,16,3,4,youtube.com/watch?v=W_OL3APxJVg,3,Traditional,5,Wing? Skim?,Killa Kolya,Roxrite?,Killa Kolya,Lilou,Killa Kolya,Omar? Pelezinho?,Killa Kolya,Jeskilz,Killa Kolya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zip Rock,Nori,Nori,Nori,Red Bull BC One Last Chance Cypher,Mumbai,India,2019,11,7,16,3,4,youtube.com/watch?v=jBkLr78ksbw,3,Traditional,5,Wing? Skim?,Nori,Roxrite?,Zip Rock,Lilou,Nori,Omar? Pelezinho?,Zip Rock,Jeskilz,Nori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moa,Killa Kolya,Moa,Killa Kolya,Red Bull BC One Last Chance Cypher,Mumbai,India,2019,11,7,16,2,8,youtube.com/watch?v=CNAi-dy2PFI,2,Traditional,5,Wing? Skim?,Killa Kolya,Roxrite?,Killa Kolya,Lilou,Moa,Omar? Pelezinho?,Killa Kolya,Jeskilz,Killa Kolya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiefox,Simy,Simy,Thiefox,Red Bull BC One Last Chance Cypher,Mumbai,India,2019,11,7,16,2,8,youtube.com/watch?v=JJnSoJ3TvKY,2,Traditional,5,Wing? Skim?,Thiefox,Roxrite?,Simy,Lilou,Thiefox,Omar? Pelezinho?,Thiefox,Jeskilz,Simy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zip Rock,Icey Ives,Zip Rock,Zip Rock,Red Bull BC One Last Chance Cypher,Mumbai,India,2019,11,7,16,2,8,youtube.com/watch?v=ZgOLoCKxR2Y,2,Traditional,5,Wing? Skim?,Zip Rock,Roxrite?,Zip Rock,Lilou,Zip Rock,Omar? Pelezinho?,Zip Rock,Jeskilz,Zip Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pesto,Nori,Pesto,Nori,Red Bull BC One Last Chance Cypher,Mumbai,India,2019,11,7,16,2,8,youtube.com/watch?v=WWL_n9Bly20,2,Traditional,5,Wing? Skim?,Nori,Roxrite?,Pesto,Lilou,Nori,Omar? Pelezinho?,Pesto,Jeskilz,Nori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lion,Moa,Moa,Moa,Red Bull BC One Last Chance Cypher,Mumbai,India,2019,11,7,16,1,16,youtube.com/watch?v=ywKTOtKFuSs,2,Traditional,5,Wing? Skim?,Moa,Roxrite?,Moa,Lilou,Moa,Omar? Pelezinho?,Moa,Jeskilz,Moa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson,Killa Kolya,Jackson,Killa Kolya,Red Bull BC One Last Chance Cypher,Mumbai,India,2019,11,7,16,1,16,youtube.com/watch?v=Sr8dcufchHw,2,Traditional,5,Wing? Skim?,Killa Kolya,Roxrite?,Killa Kolya,Lilou,Killa Kolya,Omar? Pelezinho?,Killa Kolya,Jeskilz,Killa Kolya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Jim,Thiefox,Mighty Jim,Thiefox,Red Bull BC One Last Chance Cypher,Mumbai,India,2019,11,7,16,1,16,youtube.com/watch?v=5cbybzzZegU,2,Traditional,5,Wing? Skim?,Thiefox,Roxrite?,Thiefox,Lilou,Thiefox,Omar? Pelezinho?,Thiefox,Jeskilz,Mighty Jim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simy,Till,Simy,Simy,Red Bull BC One Last Chance Cypher,Mumbai,India,2019,11,7,16,1,16,youtube.com/watch?v=7Gz2YoQL9Fk,2,Traditional,5,Wing? Skim?,Simy,Roxrite?,Simy,Lilou,Simy,Omar? Pelezinho?,Simy,Jeskilz,Simy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tornado,Zip Rock,Zip Rock,Zip Rock,Red Bull BC One Last Chance Cypher,Mumbai,India,2019,11,7,16,1,16,youtube.com/watch?v=IZFBB1kTF-0,2,Traditional,5,Wing? Skim?,Zip Rock,Roxrite?,Zip Rock,Lilou,Zip Rock,Omar? Pelezinho?,Zip Rock,Jeskilz,Zip Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Icey Ives,Pac Pac,Icey Ives,Icey Ives,Red Bull BC One Last Chance Cypher,Mumbai,India,2019,11,7,16,1,16,youtube.com/watch?v=x_E_gz0TUpM,2,Traditional,5,Wing? Skim?,Icey Ives,Roxrite?,Icey Ives,Lilou,Pac Pac,Omar? Pelezinho?,Icey Ives,Jeskilz,Icey Ives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stepper,Pesto,Pesto,Pesto,Red Bull BC One Last Chance Cypher,Mumbai,India,2019,11,7,16,1,16,youtube.com/watch?v=JRq3hCkvaaw,2,Traditional,5,Wing? Skim?,Pesto,Roxrite?,Stepper,Lilou,Pesto,Omar? Pelezinho?,Pesto,Jeskilz,Pesto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomaz,Nori,Thomaz,Nori,Red Bull BC One Last Chance Cypher,Mumbai,India,2019,11,7,16,1,16,youtube.com/watch?v=W8vG-2suZQ4,2,Traditional,5,Wing? Skim?,Nori,Roxrite?,Nori,Lilou,Nori,Omar? Pelezinho?,Nori,Jeskilz,Nori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeku,Pac Pac,Zeku,Zeku,Battle of the Year,Montpellier,France,2019,10,25,16,4,2,youtube.com/watch?v=YOdruPezaEY,3,Kozen,5,Neguin,,Wing,,Movie One,,Mounir,,Crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayson,Pac Pac,Jayson,Pac Pac,Battle of the Year,Montpellier,France,2019,10,25,16,3,4,youtube.com/watch?v=Sasj4NdbpRg,2 + tiebreaker,Kozen,5,Neguin,,Wing,,Movie One,,Mounir,,Crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davy,Zeku,Zeku,Zeku,Battle of the Year,Montpellier,France,2019,10,25,16,3,4,youtube.com/watch?v=iEOH0RcDWN0,2,Kozen,5,Neguin,,Wing,,Movie One,,Mounir,,Crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pac Pac,Pluto,Pluto,Pac Pac,Battle of the Year,Montpellier,France,2019,10,25,16,2,8,youtube.com/watch?v=MTbsHH2XqFE,2,Kozen,5,Neguin,,Wing,,Movie One,,Mounir,,Crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayson,Alvin,Alvin,Jayson,Battle of the Year,Montpellier,France,2019,10,25,16,2,8,youtube.com/watch?v=fN1iyyWU0TM,2,Kozen,5,Neguin,,Wing,,Movie One,,Mounir,,Crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tricky,Zeku,Zeku,Zeku,Battle of the Year,Montpellier,France,2019,10,25,16,2,8,youtube.com/watch?v=oaji3y_SjaM,2 + tiebreaker,Kozen,5,Neguin,,Wing,,Movie One,,Mounir,,Crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davy,Shinobi,Davy,Davy,Battle of the Year,Montpellier,France,2019,10,25,16,2,8,youtube.com/watch?v=lorHW859pRg,2,Kozen,5,Neguin,,Wing,,Movie One,,Mounir,,Crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pac Pac,Primo,Primo,Pac Pac,Battle of the Year,Montpellier,France,2019,10,25,16,1,16,youtube.com/watch?v=QiRnNJogX20,2,Kozen,5,Neguin,,Wing,,Movie One,,Mounir,,Crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico,Pluto,Pluto,Pluto,Battle of the Year,Montpellier,France,2019,10,25,16,1,16,youtube.com/watch?v=7vgccWRZGdU,2,Kozen,5,Neguin,,Wing,,Movie One,,Mounir,,Crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-Tex,Jayson,Jayson,Jayson,Battle of the Year,Montpellier,France,2019,10,25,16,1,16,youtube.com/watch?v=tnPMGZnOVvc,2,Kozen,5,Neguin,,Wing,,Movie One,,Mounir,,Crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man Like B,Alvin,Man Like B,Alvin,Battle of the Year,Montpellier,France,2019,10,25,16,1,16,youtube.com/watch?v=9tM6VDHPsTU,2,Kozen,5,Neguin,,Wing,,Movie One,,Mounir,,Crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeku,Poxy,Zeku,Zeku,Battle of the Year,Montpellier,France,2019,10,25,16,1,16,youtube.com/watch?v=3Ejwdl1PD2U,2,Kozen,5,Neguin,,Wing,,Movie One,,Mounir,,Crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onel,Tricky,Onel,Tricky,Battle of the Year,Montpellier,France,2019,10,25,16,1,16,youtube.com/watch?v=RJF8HeVDHz0,2,Kozen,5,Neguin,,Wing,,Movie One,,Mounir,,Crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancho,Davy,Davy,Davy,Battle of the Year,Montpellier,France,2019,10,25,16,1,16,youtube.com/watch?v=dF8WXIuyYLM,2,Kozen,5,Neguin,,Wing,,Movie One,,Mounir,,Crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shinobi,Karajos,Shinobi,Shinobi,Battle of the Year,Montpellier,France,2019,10,25,16,1,16,youtube.com/watch?v=nb5vgyjAP7U,2,Kozen,5,Neguin,,Wing,,Movie One,,Mounir,,Crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lil Mami,Eri Fenesis,Eri Fenesis,Lil Mami,Battle of the Year B-Girl,Montpellier,France,2019,10,25,8,3,2,youtube.com/watch?v=dvrSdOHGIVM,3,Kozen,5,Neguin,,Wing,,Movie One,,Mounir,,Crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karina,Eri Fenesis,Eri Fenesis,Eri Fenesis,Battle of the Year B-Girl,Montpellier,France,2019,10,25,8,2,4,youtube.com/watch?v=Bt5hm3RDp5E,2,Kozen,5,Neguin,,Wing,,Movie One,,Mounir,,Crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC,Lil Mami,Lil Mami,Lil Mami,Battle of the Year B-Girl,Montpellier,France,2019,10,25,8,2,4,youtube.com/watch?v=xqifgyHKN3U,2 + tiebreaker,Kozen,5,Neguin,,Wing,,Movie One,,Mounir,,Crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eri Fenesis,Rut,Eri Fenesis,Eri Fenesis,Battle of the Year B-Girl,Montpellier,France,2019,10,25,8,1,8,youtube.com/watch?v=SAmjllMhso8,2,Kozen,5,Neguin,,Wing,,Movie One,,Mounir,,Crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firebird,Karina,Firebird,Karina,Battle of the Year B-Girl,Montpellier,France,2019,10,25,8,1,8,youtube.com/watch?v=uLKPK6-xy-8,2,Kozen,5,Neguin,,Wing,,Movie One,,Mounir,,Crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC,Keysha,CC,CC,Battle of the Year B-Girl,Montpellier,France,2019,10,25,8,1,8,youtube.com/watch?v=v0rOnishkZY,2 + tiebreaker,Kozen,5,Neguin,,Wing,,Movie One,,Mounir,,Crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fanny,Lil Mami,Lil Mami,Lil Mami,Battle of the Year B-Girl,Montpellier,France,2019,10,25,8,1,8,youtube.com/watch?v=6gsrPj3pYr8,2,Kozen,5,Neguin,,Wing,,Movie One,,Mounir,,Crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor,Stripes,Stripes,Victor,Silverback Open Championships,Philadelphia,United States,2018,10,27,32,5,2,youtube.com/watch?v=Fcl8BdJEt3g,3,K.O.,7,Poe One,,Goku,,Storm,,Crazy Legs,,Narumi,,Skim,,Lil Cesar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor,Khalil,Victor,Victor,Silverback Open Championships,Philadelphia,United States,2018,10,27,32,4,4,youtube.com/watch?v=Dvq1hAzNcLg,3,K.O.,7,Poe One,,Goku,,Storm,,Crazy Legs,,Narumi,,Skim,,Lil Cesar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stripes,Issei,Stripes,Stripes,Silverback Open Championships,Philadelphia,United States,2018,10,27,32,4,4,youtube.com/watch?v=D6BnefymumQ,3,K.O.,7,Poe One,,Goku,,Storm,,Crazy Legs,,Narumi,,Skim,,Lil Cesar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazuki Rock,Victor,Kazuki Rock,Victor,Silverback Open Championships,Philadelphia,United States,2018,10,27,32,3,8,youtube.com/watch?v=owajtkBnTHA,2,K.O.,7,Poe One,,Goku,,Storm,,Crazy Legs,,Narumi,,Skim,,Lil Cesar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Nino,Khalil,El Nino,Khalil,Silverback Open Championships,Philadelphia,United States,2018,10,27,32,3,8,youtube.com/watch?v=x62wAtkVKG0,2,K.O.,7,Poe One,,Goku,,Storm,,Crazy Legs,,Narumi,,Skim,,Lil Cesar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stripes,Shigekix,Shigekix,Stripes,Silverback Open Championships,Philadelphia,United States,2018,10,27,32,3,8,youtube.com/watch?v=WzTzX-JR06c,2,K.O.,7,Poe One,,Goku,,Storm,,Crazy Legs,,Narumi,,Skim,,Lil Cesar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Jerry,Issei,Wild Jerry,Issei,Silverback Open Championships,Philadelphia,United States,2018,10,27,32,3,8,youtube.com/watch?v=n2ERpv8smRE,2,K.O.,7,Poe One,,Goku,,Storm,,Crazy Legs,,Narumi,,Skim,,Lil Cesar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thesis,Kazuki Rock,Thesis,Kazuki Rock,Silverback Open Championships,Philadelphia,United States,2018,10,27,32,2,16,youtube.com/watch?v=eXI4qtNHQtA,2,K.O.,7,Poe One,,Goku,,Storm,,Crazy Legs,,Narumi,,Skim,,Lil Cesar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kid Karam,Victor,Kid Karam,Victor,Silverback Open Championships,Philadelphia,United States,2018,10,27,32,2,16,youtube.com/watch?v=Zg9Z4ESnc2M,2,K.O.,7,Poe One,,Goku,,Storm,,Crazy Legs,,Narumi,,Skim,,Lil Cesar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Nino,Kuzya,Kuzya,El Nino,Silverback Open Championships,Philadelphia,United States,2018,10,27,32,2,16,youtube.com/watch?v=F0PaG8Gdk2Q,2,K.O.,7,Poe One,,Goku,,Storm,,Crazy Legs,,Narumi,,Skim,,Lil Cesar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalil,WingZero,WingZero,Khalil,Silverback Open Championships,Philadelphia,United States,2018,10,27,32,2,16,youtube.com/watch?v=v1ez4lqARVM,2,K.O.,7,Poe One,,Goku,,Storm,,Crazy Legs,,Narumi,,Skim,,Lil Cesar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gravity,Stripes,Stripes,Stripes,Silverback Open Championships,Philadelphia,United States,2018,10,27,32,2,16,youtube.com/watch?v=0NVYCxeU3eQ,2,K.O.,7,Poe One,,Goku,,Storm,,Crazy Legs,,Narumi,,Skim,,Lil Cesar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shigekix,Hong 10,Shigekix,Shigekix,Silverback Open Championships,Philadelphia,United States,2018,10,27,32,2,16,youtube.com/watch?v=2DzGUZgKZzU,2,K.O.,7,Poe One,,Goku,,Storm,,Crazy Legs,,Narumi,,Skim,,Lil Cesar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Jerry,Lussy Sky,Wild Jerry,Wild Jerry,Silverback Open Championships,Philadelphia,United States,2018,10,27,32,2,16,youtube.com/watch?v=OOhZau-TDd0,2,K.O.,7,Poe One,,Goku,,Storm,,Crazy Legs,,Narumi,,Skim,,Lil Cesar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phil Wizard,Issei,Phil Wizard,Issei,Silverback Open Championships,Philadelphia,United States,2018,10,27,32,2,16,youtube.com/watch?v=UYAjzQnpc_M,2,K.O.,7,Poe One,,Goku,,Storm,,Crazy Legs,,Narumi,,Skim,,Lil Cesar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
